nom,theme,reseau,type,visites,visitesfrance,pagevues
Leturf.fr,Actu / Informations,Site Internet,Site grand public,413913,369822,6641397
Lexpress.fr,Actu / Informations,Site Internet,Site grand public,15169911,12612716,53012798
LexTimes.fr,Actu / Informations,Site Internet,Site grand public,15165,13047,23792
Liberation.fr,Actu / Informations,Site Internet,Site grand public,22390919,18135054,75365708
Lindependant.fr,Actu / Informations,Site Internet,Site grand public,1464746,1379065,6236296
Logic-immo.com,Annonces,Site Internet,Site grand public,4984904,4647494,38301862
Lux-residence.com,Annonces,Site Internet,Site grand public,183381,117421,2171907
Lyonne.fr,Actu / Informations,Site Internet,Site grand public,249200,236586,1175591
Maisonapart.com,Actu / Informations,Site Internet,Site grand public,329122,291856,2664473
Manpower.fr,Annonces,Site Internet,Site grand public,1741873,1696713,10857247
Mappy.com,Services,Site Internet,Site grand public,20420046,17898365,78298110
melty.fr,Actu / Informations,Site Internet,Site grand public,4198304,3423395,8899181
Midilibre.fr,Actu / Informations,Site Internet,Site grand public,4945202,4654342,17883712
Monde-diplomatique.fr,Actu / Informations,Site Internet,Site grand public,911461,509558,1993127
Nicematin.com,Actu / Informations,Site Internet,Site grand public,3418535,3089696,14121280
Notretemps.com,Actu / Informations,Site Internet,Site grand public,1193565,1069866,6584188
Nouvelobs.com,Actu / Informations,Site Internet,Site grand public,16621411,14147555,60206132
Ouestfrance-auto.com,Annonces,Site Internet,Site grand public,723410,700362,11697595
Ouestfrance-emploi.com,Annonces,Site Internet,Site grand public,794164,774075,5085326
Ouestfrance-immo.com,Annonces,Site Internet,Site grand public,1565322,1525600,32972225
Ouestfrance.fr,Actu / Informations,Site Internet,Site grand public,11192600,10537793,48018154
Pagesjaunes.fr,Services,Site Internet,Site grand public,79593789,76416692,414612047
Paris-turf.com,Actu / Informations,Site Internet,Site grand public,2929662,2304150,19848268
ParisMatch.com,Actu / Informations,Site Internet,Site grand public,3107179,2219731,14184542
Paruvendu.fr,Annonces,Site Internet,Site grand public,3102114,2865381,29315269
Photos-animaux.com,Portail / Communautaire,Site Internet,Site grand public,247842,191809,2896823
Piwiplus.fr,Actu / Informations,Site Internet,Site grand public,371907,353185,6388729
Planet.fr,Actu / Informations,Site Internet,Site grand public,3873407,3523373,22746458
Pleinevie.fr,Actu / Informations,Site Internet,Site grand public,31316,27208,54527
Premiere.fr,Actu / Informations,Site Internet,Site grand public,8983812,7517916,32792600
Psychologies.com,Actu / Informations,Site Internet,Site grand public,2324914,1700074,14478942
Radioclassique.fr,Actu / Informations,Site Internet,Site grand public,703561,586165,3614837
Refleximmo.com,Annonces,Site Internet,Site grand public,211314,199341,713453
Regionsjob.com,Annonces,Site Internet,Site grand public,4861041,4657131,33326126
Rfi.fr,Actu / Informations,Site Internet,Site grand public,5940223,1456859,23358313
Rue89.com,Actu / Informations,Site Internet,Site grand public,9676965,8225043,31721030
Rustica.fr,Actu / Informations,Site Internet,Site grand public,445047,403030,1613735
Salondulivreparis.com,Actu / Informations,Site Internet,Site grand public,105316,89205,670949
Salonnautiqueparis.com,Actu / Informations,Site Internet,Site grand public,8188,5906,27072
Savoirtoutfaireaujardin.com,Portail / Communautaire,Site Internet,Site grand public,5972,4294,14077
Sciencesetavenir.fr,Actu / Informations,Site Internet,Site grand public,431754,351334,1814408
Selectionclic.com,Actu / Informations,Site Internet,Site grand public,354469,322107,2313849
Seloger.com,Annonces,Site Internet,Site grand public,17000714,15974197,230511747
Service-public.fr,Services,Site Internet,Site grand public,9653462,9186934,30019086
Sport24.com,Actu / Informations,Site Internet,Site grand public,3991107,3319895,24223686
Sportauto.fr,Actu / Informations,Site Internet,Site grand public,265804,216233,719591
Studyrama.com,Services,Site Internet,Site grand public,2116855,1783024,5789489
Sudouest.fr,Actu / Informations,Site Internet,Site grand public,7514206,7110725,27330944
Systemed.fr,Actu / Informations,Site Internet,Site grand public,456849,415246,1081618
Talents.fr,Annonces,Site Internet,Site grand public,127260,114832,478960
Tele-loisirs.fr,Actu / Informations,Site Internet,Site grand public,53339673,51559592,169243967
Tele2semaines.fr,Actu / Informations,Site Internet,Site grand public,5662487,5174520,19903706
Telepoche.fr,Actu / Informations,Site Internet,Site grand public,148772,141485,281539
Telerama.fr,Actu / Informations,Site Internet,Site grand public,4568700,4219194,19889090
Teletoonplus.fr,Actu / Informations,Site Internet,Site grand public,295849,228046,3560136
Tierce-magazine.com,Actu / Informations,Site Internet,Site grand public,1016620,838127,4616395
Topannonces.fr,Annonces,Site Internet,Site grand public,820964,773786,5202865
Topsante.com,Actu / Informations,Site Internet,Site grand public,1003396,729181,3970127
Tourmagazine.fr,Actu / Informations,Site Internet,Site grand public,41335,33583,64272
Toutsurmesfinances.com,Actu / Informations,Site Internet,Site grand public,240332,222539,510446
